build_year,country,make,model,avg_amount_damage
2012,LPES,nissan,murano,1354.37
2016,LPPT,renault,trafic,786.13
2017,LPPT,renault,traficvc,293.74
2010,LPPT,nissan,xtrail,477.558
2014,LPNL,citroen,nemo,1909.32
2009,LPPT,volvo,xc90,2584.4
2014,LPCH,seat,leon,2656.1499999999996
2008,LPSE,toyota,priushsdbusiness2007,9563.625
2009,LPPT,mercedes,classeclk,518.7049999999999
2007,LPDE,alfaromeo,alfa15924jtprogression,488.32
2011,LPDE,volvo,c30,1711.871111111111
2014,LPCH,mercedes,bclass,696.99
2011,LPSK,volkswagen,passatcc,249.78714285714287
2015,LPAE,mitsubishi,canter,309.0
2009,LPDE,mercedes,ml280cdi4mat,3160.47
2007,LPIT,renaultel,espace0730dc,777.96
2014,LPSK,opel,movano,1496.64
2013,LPCZ,suzuki,splash,10656.925
2009,LPDE,peugeot,407swhdi140platinum,3615.045
2011,LPBE,volkswagen,multivan,1360.4333333333334
2010,LPGR,chevrolet,spark,0.0
2006,LPSE,skoda,octavia20fsi4x4combi2006,3851.0
2014,LPDE,mercedes,216cdisprinterkasten,1989.74
2009,LPSE,volvo,v50d5momentumauto2010,11184.0
2013,LPCH,mazda,6,1026.96
2004,LPDE,mercedes,c220cdiclassic,1736.2
2004,LPFR,skoda,octaviaiieleg,214.71333333333334
2009,LPBE,mercedes,vianoswb,1383.39
2009,LPFR,honda,insight,523.22
2006,LPFR,toyota,avensisii177,200.33833333333334
2012,LPUK,volkswagen,amarok11,1071.2766666666666
2006,LPSE,mercedes,vito111cdi49m32005,32847.0
2014,LPSK,opel,combovc,283.798
2008,LPHU,mercedes,vito,240131.5
2000,LPDE,volkswagen,sharantdihighline,1817.39
2007,LPSE,volvo,v50d5kineticauto2008,7828.0
2008,LPRO,honda,crv,41.0
2010,LPCH,volvo,xc70husky4x4,847.48
2012,LPHU,chevrolet,orlando,91993.9
2014,LPES,porsche,panamera,669.22
2011,LPBE,fiat,scudo,1480.07
2011,LPSK,volvo,s40,260.04
2011,LPCH,audi,a4allroad,4071.7
2009,LPCH,suzuki,swiftgltop,3587.7
2008,LPCH,nissan,xtrailse,3243.55
2010,LPIT,iveco,dailycombi,1661.43
2005,LPFR,hyundai,tucsonpckconf,133.75
2011,LPCH,citroen,berlingo,5933.88
2011,LPCH,toyota,hiace,2713.5299999999997
2005,LPCH,bmw,325isixinl,1646.2
2009,LPDE,bmw,520i,590.72
2006,LPDE,volvo,v70d5dpfsummum,1766.55
2015,LPES,volkswagen,scirocco,1299.1
2011,LPPL,peugeot,206,4262.98
2004,LPFR,volvo,s80iii24d,460.0
2006,LPUK,citroen,c45dr05,1613.8775
2010,LPFR,opel,movanofg33m2,1781.5049999999999
2011,LPUK,citroen,relayvan3307,1276.0749999999998
2004,LPFR,renault,gdscenicsport,826.27
2006,LPDE,volkswagen,polo19tdisportline,1386.7
2012,LPUK,audi,a84dr12,0.0
2014,LPRO,peugeot,301,2714.9431
2008,LPSE,ford,mondeo20flexifuelbusinessedition200,12592.875
2014,LPFR,mazda,3,1236.54
2012,LPFR,mercedes,vitoiifg4x4,1035.255
2011,LPFR,bmw,116i5portes,224.5
2008,LPUK,bmw,320d4dr09,89.22
2011,LPDE,volvo,s80d5awdautsummum,791.51
2007,LPSE,saab,9520t180hkbiopowerlinear2007,26013.0
2009,LPUK,mercedes,c350dest10,0.0
2006,LPFR,bmw,520de60,400.47
2009,LPSE,bmw,series5523isedan2009,10285.0
2007,LPSE,volvo,s60241402007,4306.0
2013,LPFR,jeep,wrangler,453.69
2015,LPSE,toyota,auris20d4deditionfeeltouringspor,3356.0
2004,LPFR,piaggio,porterpickup,2606.0
2009,LPFR,citroen,jumpercft33,4078.29
2003,LPFR,mercedes,classea170,324.52
2006,LPSE,audi,a620tfsiavant2007,4454.0
2007,LPFR,fiat,dobloemotion,459.725
2010,LPFR,audi,mini16cooper,1297.49
2012,LPUK,mercedes,c2504dr13,511.55
2015,LPCH,ford,focus,4298.04
2011,LPDE,mercedes,319cdisprintekasten,4650.72
2015,LPUK,mazda,2,277.98
2007,LPSE,nissan,kingcabdoublecab4wd25dac2006,31448.0
2003,LPFR,bmw,318de46pref,757.77
2008,LPSE,hyundai,i3016crdim5comfortpluskombi2008,14734.0
2007,LPCZ,fiat,stilo,15287.24
2006,LPUK,opel,corsa5dr065,351.655
2011,LPUK,fiat,bravo5dr0775,157.86
2013,LPFR,mercedes,g63amg,1535.64
2008,LPFR,hyundai,i30cwpcfrt,1278.05
2013,LPTR,volvos6016d2drivepowershift2013,volvos6016d2drivepowershift2013,0.0
2005,LPSK,skoda,fabiaambientecombi,0.0
2004,LPDE,executive,executive,0.0
2006,LPPL,fiat,grandepunto,1926.4120000000003
2001,LPES,seat,ibizastella,548.2267567567567
2004,LPES,mercedes,cclass,191.43
2001,LPAT,audi,a419tdipd,0.0
2002,LPES,mercedes,c200k,223.9216666666667
2003,LPES,opel,astraclub,492.06381578947367
2002,LPES,ford,transitmixto,1099.8776923076923
2003,LPNL,volvo,s60,508.6077272727273
2004,LPAT,hyundai,elantra20crdi,0.0
2009,LPNL,audi,mini,719.5218840579711
2010,LPNL,citroen,c6,110.0
2002,LPAT,alfaromeo,156sportwagon,0.0
2003,LPES,volvo,xc90,221.9572727272727
2004,LPNL,audi,a4,264.9182283464567
2005,LPNL,ginaf,c,0.0
2010,LPNL,nissan,pixo,391.29777777777775
2011,LPNL,toyota,verso,971.9597752808988
2005,LPNL,toyota,landcruiser,1128.25
2000,LPES,iveco,ml180e27,0.0
2001,LPES,nissan,micraconfort,1392.2
2006,LPNL,ssangyong,kyron,345.6271428571429
2003,LPPT,mercedes,sprinter413d,0.0
2005,LPAT,volkswagen,golfvariantgl,25.4865625
2003,LPAT,renault,grespaceexpr,0.0
2007,LPAT,audi,a6avant20,382.2628571428572
2007,LPLU,landrover,range,9.75
2012,LPNL,hyundai,i30,905.0688073394496
2007,LPAT,volvo,xc90d5,878.115
2001,LPAT,audi,a6allroadqu,0.0
2007,LPAT,peugeot,boxervc,1361.982
2005,LPAT,mazda,3sport16cd,0.0
2012,LPNL,toyota,yaris,946.3055555555555
2004,LPNL,saab,95estate,444.2293333333334
2011,LPNO,nissan,leaf,1037.0
2003,LPAT,fiat,ducatokombi11,0.0
2004,LPPT,saab,93,23.692307692307693
2009,LPBR,volkswagen,voyage,0.0
2010,LPFI,ford,smax,109.95466666666667
2006,LPES,renault,trafic,856.4198214285714
2005,LPES,nissan,cabstare,298.5
2006,LPBR,volkswagen,kombi,0.0
2008,LPBR,generalmotors,celta,0.0
2003,LPFR,renault,espacev22,720.2836
2007,LPFI,volkswagen,caravelle,0.0
2009,LPLU,renault,traficvc,783.9249999999998
1996,LPPT,audi,a4,0.0
2011,LPIE,fiat,doblo,0.0
2009,LPES,seat,altea,588.9705645161293
2003,LPLU,renault,megane,502.7881818181817
2008,LPHU,volkswagen,golf,80848.90883333332
2009,LPES,renault,cliosocietebio,1080.7585365853656
2018,LPBR,fiat,uno,0.0
2014,LPBR,hyundai,sonata,0.0
2004,LPBE,renault,espace,190.76080769230762
2010,LPBR,hyundai,azera,0.0
2009,LPAT,audi,a6avant27v6,790.8907142857144
2011,LPLU,bmw,1serie,305.9572602739727
2013,LPAT,skoda,roomster16tdi,0.0
2010,LPAT,bmw,x320da,0.0
2002,LPES,nissan,pickupdoblec,1323.96
2005,LPLU,volvo,xc90,310.10249999999996
2001,LPES,nissan,trade75combi6,3030.625
2004,LPES,peugeot,307break,984.6366666666667
1999,LPNL,nissan,primera,0.0
2018,LPIN,hyundai,hyundaivernadsl,0.0
2013,LPNL,seat,alhambra,1100.84375
2014,LPFI,bmw,1serie,204.08515151515152
2007,LPSK,volvo,s60,216.17
2014,LPPL,bmw,3serie,859.5864285714287
2006,LPLU,renault,scenic,286.2661538461538
2005,LPPT,mercedes,eclass,248.63
2004,LPPT,mercedes,eclass,210.66562499999998
2015,LPTR,opel,astra,1145.6195
2015,LPFI,volkswagen,tiguan,89.85857142857142
2017,LPNL,citroen,c1,196.96
2012,LPTR,opel,corsa,380.0870967741936
2012,LPPL,toyota,corolla,2180.1463636363633
2005,LPLU,peugeot,experttepee,3089.72
2009,LPES,renault,scenic,654.101
2013,LPNL,citroen,c5,1241.5149999999999
2009,LPLU,bmw,m3cabriolet,0.0
2003,LPBE,peugeot,boxer330c,0.0
2007,LPLU,volkswagen,crafter,879.7814285714287
2000,LPDE,volkswagen,passat19tditrendline,1928.0600000000002
2015,LPLU,audi,a6,373.7633333333333
2006,LPHU,volkswagen,sharan,0.0
2015,LPDE,audi,a6,1135.6959259259263
2009,LPAT,volkswagen,multivan25tdi,677.8
2004,LPES,skoda,superb,115.228
2013,LPFI,volkswagen,transporter,375.78564705882354
2011,LPTR,landrover,rangesport,0.0
2004,LPLU,opel,agila,855.45
2002,LPLU,mercedes,eclass,601.042
2017,LPMX,honda,crv,0.0
2011,LPIE,ducati,multistrada,0.0
2016,LPES,toyota,yaris,557.52
2007,LPLU,landrover,defender90,0.0
2016,LPAE,toyota,hilux,414.11842105263156
2003,LPBE,fiat,ducato,0.0
2002,LPBE,volvo,c70,0.0
2014,LPLU,peugeot,308,132.8341176470588
2010,LPPT,honda,insight,81.92500000000001
2010,LPFI,peugeot,boxer,32.63
2011,LPFI,nissan,interstar,1073.78
2007,LPPT,ford,fusion,116.04
2004,LPBE,renault,trafic29combi,277.698
2003,LPHU,volkswagen,passat,42322.07
2015,LPNO,mazda,cx5,4122.5
2011,LPFI,opel,combovc,342.36
2014,LPAT,skoda,superb,0.0
2017,LPPT,hyundai,i30,0.0
2001,LPBE,volvo,s80,0.0
2001,LPBE,nissan,primera,0.0
2010,LPAT,fiat,500,696.3874999999999
2015,LPFI,mazda,cx5,299.4325
2011,LPNO,toyota,landcruiser,1252.2
2012,LPNO,skoda,octavia,4448.197916666667
2011,LPCH,volkswagen,golf,1322.365333333333
2015,LPFI,lexus,nx,51.4
2010,LPPT,audi,a4allroad,1242.3655
2010,LPNO,volkswagen,caddy,12548.928104575163
2004,LPSK,renault,mascott,0.0
2012,LPMX,chevrolet,chevy,0.0
2006,LPIT,lanciael,musa,774.2567346938773
2010,LPCH,audi,a4,1503.4334074074072
2007,LPUK,mitsubishi,l200,650.5653488372093
2011,LPPL,peugeot,207,1487.9133333333334
2013,LPRO,volvo,xc60,0.0
2012,LPSE,subaru,outback25icngbusinesscitylineartroni,0.0
2016,LPFI,volvo,xc90,345.18
2013,LPES,seat,exeo,1129.3893220338987
2009,LPHU,skoda,roomsterpraktik,50898.91
2008,LPUK,opel,astraest085,82.08173913043477
2008,LPCH,skoda,fabiaambie,0.0
2013,LPGR,volkswagen,polo,331.8235294117647
2015,LPLU,citroen,ds3,0.0
2009,LPUK,toyota,hilux,572.1301724137932
2009,LPSE,renault,masterdci25ll3h1konceptskpautokaro,0.0
2011,LPSK,ford,ranger,184.5566666666667
2013,LPIE,audi,q3,156.08
2000,LPDE,ford,focusturniertfinesse,1025.4042857142856
2014,LPBE,bmw,3serie,665.2593704600488
2013,LPFI,peugeot,boxer,275.7
2000,LPDE,ford,fiestacourierkastendiesel,952.1425
2016,LPES,bmw,1serie,93.04642857142858
2014,LPMX,toyota,hiace,0.0
2017,LPNL,suzuki,sx4,0.0
2013,LPPL,volkswagen,polo,1074.013655172414
2011,LPMX,mitsubishi,monterosport,0.0
2000,LPDK,toyota,hiace2400d,0.0
2009,LPES,mercedes,sprintervc,970.6575
2004,LPGR,citroen,c2,0.0
2016,LPIT,peugeot,208,1291.8466350710898
2013,LPAT,iveco,daily35s13v,0.0
2008,LPDE,mercedes,viano30cdieambienteactivi,0.0
2012,LPBE,renault,kangoo,1466.4143165467624
2012,LPMX,ford,escape,0.0
2017,LPSK,fiat,500,0.0
2006,LPIT,renaultel,modusn1,1391.8133333333333
2013,LPGR,nissan,nv200m20,0.0
2018,LPPT,volkswagen,golf,117.77166666666666
2007,LPBE,mercedes,vitominibus,821.4766666666668
2003,LPCH,renault,meganedynac,0.0
2012,LPES,peugeot,207,1057.455357142857
2000,LPDE,volkswagen,polo14tdisportline,0.0
2017,LPFI,opel,astra,0.0
2012,LPNO,citroen,jumper,23868.2
2015,LPGR,fiat,500x,0.0
2006,LPDK,peugeot,307stcac90hk,6470.814375
2002,LPCH,chrysler,voyagerse,0.0
2011,LPNO,volkswagen,transportambu,0.0
2006,LPDK,peugeot,206espacesp,0.0
2009,LPPT,renault,koleos,0.0
2004,LPCZ,skoda,fabia,10020.613257575758
2008,LPFR,audi,a6iv4paluxe,744.5539130434781
2006,LPCH,alfaromeo,159distinc,785.0728571428572
2014,LPPT,nissan,juke,229.09666666666666
2010,LPPT,mitsubishi,canter,944.6790000000001
2013,LPTR,mercedes,glkclass,2221.59
2017,LPFI,opel,movano,0.0
2009,LPDE,volkswagen,golfvariant1sportline,1811.9554545454548
2002,LPCH,peugeot,expert220ccon,0.0
2010,LPPL,ford,focuscmax,709.9733333333334
2013,LPTR,bentley,continentalgt,0.0
2010,LPFR,divers,cartegazolevu,0.0
2006,LPNO,scania,p310dblast,0.0
2014,LPLU,volvo,v60,463.02533333333326
2002,LPHU,suzuki,swift,0.0
2012,LPCH,volvo,xc70,1139.5733333333335
2013,LPSK,hyundai,i40,496.5275862068966
2017,LPMX,chevrolet,tornado,0.0
2013,LPGR,peugeot,208,726.625
2015,LPSE,opel,ampera,0.0
2004,LPDK,scania,p380la,0.0
2014,LPIN,mahindra,mmthar,0.0
2018,LPES,renault,master,0.0
2016,LPUK,mercedes,sprintervc,183.80309090909088
2006,LPDE,volkswagen,polo14tdidpcomfortline,2170.2200000000003
2016,LPDK,citroen,ds3,1822.4049523809526
2009,LPFR,peugeot,boxervc,1436.9804761904763
2015,LPDK,citroen,c4,3782.421875
2007,LPBE,opel,movano35l3h2,1038.57
2012,LPUK,seat,leon,221.93537942664423
2010,LPUK,honda,insight,432.23374999999993
2013,LPDK,audi,a3,4257.648444444445
2010,LPUK,audi,tt,152.19922330097086
2008,LPUK,ford,galaxy085,559.0182352941176
2012,LPFR,peugeot,5008,1125.3288425925925
2014,LPUK,volvo,xc60,226.19227678571428
2010,LPDK,ford,transitconnect,2020.8366666666668
2011,LPFR,peugeot,3008,873.5362261753497
2010,LPUK,renault,clio,228.56106122448966
2013,LPUK,bmw,x3,217.04462184873952
2011,LPSE,volkswagen,golftdi140hkdsggtvariant2012,0.0
2017,LPUK,kia,sorento,255.66333333333333
2004,LPFR,citroen,c8pack,474.2877272727272
2014,LPBE,opel,zafira,680.0148979591836
2013,LPRO,renault,laguna,0.0
2010,LPUK,mercedes,vito,478.22499999999997
2007,LPUK,fiat,ducatomaxi06,0.0
2013,LPFR,ford,kuga,593.337380952381
2016,LPFR,citroen,jumpy,808.754
2010,LPDE,volkswagen,touran19tditrendline,2145.36
2016,LPFR,seat,alhambrarefere,0.0
2009,LPUK,audi,ttrster095,0.0
2009,LPUK,fiat,5003dr075,0.0
2009,LPPT,mercedes,vito109,1739.4000000000003
2017,LPBE,mitsubishi,outlander,0.0
2015,LPIT,bmw,1serie,1456.4889090909091
2008,LPFR,bmw,320datouring,700.7717647058824
2004,LPIT,renaultel,masterfurt33,1096.3337500000002
2015,LPBE,hyundai,i40,79.11545454545454
1999,LPFR,renault,lagunaiirxe,0.0
2007,LPFR,opel,corsa3pcosmo,464.02000000000004
2004,LPFR,peugeot,407confortfap,581.3248837209303
2013,LPUK,volkswagen,scirocco135,0.0
2009,LPNO,opel,corsa,1477.2
2006,LPDK,mazda,6iifapstc,7839.33
2014,LPFR,bmw,z4,0.0
2012,LPBE,opel,movano,0.0
2010,LPSE,mercedes,glkclassglk220cdiblueefficiency2010,825.0
2015,LPLU,renault,laguna,1185.025
2003,LPFR,renault,traficiil1h2,881.5459999999999
2013,LPDE,hyundai,ix35,842.1671428571428
2007,LPFR,renault,cliovi5pcamp,831.5881967213113
2010,LPBE,fiat,doblo,484.1466666666667
2008,LPFR,renault,gdsceniccarmi,431.546
2010,LPCZ,citroen,c4,0.0
2018,LPIT,peugeot,boxer,203.76799999999997
2016,LPHU,opel,astra,20817.5
2008,LPGR,audi,cooper,492.75
2015,LPFR,citroen,c1,282.995
2006,LPSE,opel,movano25cdti115hkl2h235t2005,0.0
2008,LPIT,toyota,hiluxspot,0.0
2010,LPUK,peugeot,407sw10,150.448
2012,LPDE,skoda,superb,1920.2845238095238
2001,LPFR,citroen,c520hdix,0.0
2011,LPSE,volkswagen,amarok120kw163hktdihighline2011,0.0
2017,LPBE,bmw,x5,89.61666666666667
2013,LPDK,fiat,panda,4874.8607999999995
2008,LPCZ,opel,vivarovc,0.0
2005,LPFR,peugeot,307style16,0.0
2011,LPUK,citroen,c5,191.5925
2007,LPIT,alfaromeoel,brera,7023.780000000001
2002,LPFR,renault,clioiv19d,0.0
2003,LPDK,volkswagen,bus70,0.0
2009,LPSE,saab,9523t210hkbiopowervectorsportco,0.0
2013,LPBE,jeep,wrangler,72.88
2009,LPUK,bmw,318i4dr095,449.9323076923077
2013,LPFR,opel,agila,0.0
2018,LPDE,bmw,x3,0.0
2012,LPFR,hyundai,h1cabineappro,0.0
2005,LPUK,renault,trafic045,411.23499999999996
2009,LPUK,volvo,xc60awd10,768.535
2005,LPBE,kia,sportage,255.55666666666664
2015,LPSE,opel,insignia,1075.75
2017,LPUK,bmw,5serie,131.11111111111111
2016,LPUK,ford,bmax,0.0
1999,LPCH,mercedes,sprinter312,3957.05
2009,LPFR,renault,lagunaestcarm,1147.089696969697
2013,LPDE,hyundai,i10,0.0
2009,LPFR,volkswagen,tiguanrline4m,584.4766666666667
2007,LPFR,renault,cliovi3pcamp,898.5077777777778
2010,LPDE,citroen,c4grandpicasso,1898.0849999999998
2018,LPBE,volkswagen,passat,0.0
2008,LPSE,ford,ranger25tdci4x4doublecabxltlimite,12669.5
2009,LPSE,audi,a420tfsi180hk2009,0.0
2003,LPBE,citroen,jumper29ch,534.62
2013,LPRO,chevrolet,cruze,0.0
2004,LPFR,piaggio,scooter125,0.0
2008,LPFR,alfaromeo,1475pdistinc,923.9925
2008,LPSE,volkswagen,golfplus19tdidpftrendline2008,0.0
2010,LPDK,seat,altea,5000.0
2008,LPUK,bmw,118i5dr08,101.675
2014,LPLU,citroen,ds5,244.68
2011,LPUK,saab,93con11,236.08249999999998
2011,LPUK,nissan,370zrster10,0.0
2012,LPUK,mercedes,s350limo11,425.44
2011,LPSE,mercedes,vito116cdilng2011,28803.0
2010,LPSE,audi,a620tfsiavant2011,6786.0
2010,LPIT,bmw,5serie,1848.8
2011,LPSE,citroen,nemohdi75fap2011,7675.5
2011,LPSE,saab,9318t175hkbiopowervectorsc2011,7124.5
2011,LPSE,volkswagen,golfgtitsidsg5d2012,0.0
2009,LPSE,audi,a620tfsi2010,8994.5
2014,LPHU,hyundai,i30,105633.5
2008,LPFR,ford,cmaxsociete,1784.1
2005,LPFR,peugeot,boxerii350mhs,2934.9300000000003
2009,LPSE,bmw,series3320itouring2010,16181.5
2005,LPIT,chryslerel,ptcruiser,1467.23
2010,LPSE,volkswagen,golf14tsidsggt5d2010,12320.0
2005,LPNL,jeep,cherokee,0.0
2007,LPNL,crown,heftruck,195.0
2002,LPNL,nissan,terranoiii,2024.3407692307696
2005,LPES,nissan,atleon125354h,0.0
2006,LPLU,jeep,cherokee,338.775
2013,LPIE,volkswagen,touareg,430.17
2003,LPNL,suzuki,liana,219.8
2004,LPLU,bentley,arnage,678.87
2014,LPIE,skoda,fabia,313.7683783783784
2012,LPIE,subaru,forester,389.235
2015,LPAE,toyota,avalonse+,0.0
2008,LPAT,volkswagen,caddymaxikast,2070.46
2009,LPES,volkswagen,touranhigh105,1060.1
2010,LPLU,nissan,370zcoupe,924.55
2013,LPAE,toyota,rav4gx,132.03571428571428
2014,LPIE,isuzu,dmax,630.28
2011,LPAT,renault,lagunabusiness,1008.64
2009,LPES,jeep,patriot,898.92
2012,LPIE,mitsubishi,asx,291.63
2008,LPIE,peugeot,307sw,837.4200000000001
2004,LPIE,toyota,corolla,278.175
2012,LPIT,porsche,cayenne,952.281875
2008,LPDE,audi,a624multitro,2144.5
2014,LPLU,bmw,7serie,781.6775
2007,LPDE,mercedes,e350t7gtronavantgarde,873.5450000000001
2012,LPAT,volkswagen,golfvariant1,1271.05
2017,LPNL,hyundai,i10,211.6875
2008,LPDE,mercedes,b180cdiautotdpfgrandediti,615.64
2014,LPAT,peugeot,308,862.33
2016,LPPL,audi,a3,613.5
2008,LPBE,jaguar,stype,627.78
2012,LPAT,nissan,qashqai16dci,646.62
2014,LPAE,nissan,sentrasv,876.25
2008,LPCH,opel,vectradiamond,1763.5944444444444
2016,LPLU,lexus,nx,0.0
2011,LPCH,volvo,xc60d5summum,1781.26
2013,LPCZ,ford,focus,23579.946666666667
2015,LPCH,bmw,1serie,543.015
2009,LPCH,mercedes,e350blueeffic,99.6
2008,LPCH,volvo,v50summum,1775.9650000000001
2009,LPCH,mercedes,vito109,5075.070000000001
2013,LPPL,audi,a4allroad,2651.633333333333
2006,LPCH,ford,fiestatrend,1481.25
2008,LPAE,audi,a4,372.0
2012,LPES,volkswagen,crafter,3001.815
2011,LPSK,opel,movano,579.372
2005,LPCH,peugeot,206swgti,2053.05
2012,LPPT,citroen,jumpy,608.2733333333333
2014,LPGR,volkswagen,caddy,521.5
2007,LPDE,saab,9319sportklinear,1771.88
2008,LPUK,mitsubishi,cantercrwc06,715.615
2014,LPCH,volvo,xc70,2051.8450000000003
2009,LPDE,bmw,530isportauteditionexclusi,2405.54
2010,LPHU,volkswagen,transporter,372698.25
2005,LPDE,volkswagen,touran16fsihighline,2706.69
2010,LPIT,bmw,z4pc,868.42
2012,LPES,nissan,np300,2290.44
2009,LPDE,volvo,xc90d5summum,2721.66
2011,LPPT,hyundai,i40,50.0
2010,LPCH,volvo,xc90d5sum4x4,1203.8
2006,LPDE,opel,astragtc19csport,1872.22
2014,LPCH,mazda,6,1795.0
2005,LPDE,mercedes,c200tcdiavantgardedpf,1534.39
2007,LPGR,jaguar,stype,204.0
2014,LPPT,renault,grandespace,662.43
2008,LPDE,bmw,530isportauteditionsport,2915.51
2017,LPGR,peugeot,2008,0.0
2004,LPFR,bmw,530dae61,0.0
2008,LPDE,mercedes,a200autotroniavantgarde,1443.42
2005,LPFR,bmw,330cde46,0.0
2012,LPCH,mitsubishi,asxintense,2880.32
2008,LPCH,volkswagen,caddybluemot,0.01
2007,LPDE,peugeot,307hdisw135businessline,1034.18
2012,LPCH,lexus,rx450hlimited,1680.5
2009,LPDE,mercedes,c320tcdidpfelegance,1628.0
2018,LPSE,volvo,xc60,816.0
2006,LPCH,peugeot,boxer330c,9631.5
2006,LPRO,peugeot,407,0.0
2003,LPFR,opel,astraii20dti,537.2625
2008,LPSE,audi,a430tdiquattro2008,5665.0
2013,LPHU,volkswagen,caddy,69113.73333333334
2004,LPFR,citroen,jumperii33ch,398.96
2011,LPUK,kia,ceed5dr11,497.05999999999995
2009,LPDE,bmw,520dauteditionlifesty,662.24
2004,LPFR,bmw,330xde46pref,422.045
2008,LPFR,toyota,auris3plinea,678.9100000000001
2013,LPBE,kia,optima,451.31
2014,LPBE,opel,combovc,185.08
2010,LPUK,mercedes,s6004dr10,61.82
2016,LPHU,volkswagen,tiguan,0.0
2003,LPFR,ford,focusiixtrend,661.074
2007,LPFR,seat,alteaxlsptup,377.66
2014,LPFR,bmw,m235icoupe,364.42
2009,LPSE,saab,9520t150hkvectorgriffincombi20,18152.0
2010,LPFR,chevrolet,captivafamina,1423.5425
2013,LPSE,volkswagen,caravelle,9229.0
2010,LPFR,kia,venga,769.77
2013,LPHU,skoda,yeti,140300.15
2010,LPDE,renault,clio,586.16
2007,LPSE,opel,vivaro25cdti146hkl2h129ttecshift,27644.0
2009,LPFR,renault,koleos20dci,695.69
2008,LPFR,mercedes,aclasssociete,0.0
2002,LPFR,jaguar,stype30v6,1560.36
2015,LPHU,citroen,c4,249019.4
2008,LPSE,audi,a418tquattroavant2008,4266.0
2006,LPUK,opel,corsa3dr06,768.0
2003,LPFR,peugeot,406iistpack,373.41
2010,LPFR,peugeot,80720hdi,1426.76
2008,LPFR,audi,q7avusv630,455.14
2009,LPDE,peugeot,407swhdi135sport,3544.64
2012,LPDE,volvo,v50dpfd3gearkinetic,2880.43
2008,LPUK,bmw,318i4dr09,292.605
2007,LPFR,ford,fusion,1008.82
2008,LPDE,opel,astra18cosmo,1074.04
2009,LPFR,fiat,punto13,442.37
2008,LPUK,opel,vivarombus08,1312.08
2006,LPFR,peugeot,boxercft330mh,2623.81
2012,LPHU,mazda,3,58954.75
2011,LPUK,nissan,cabstarlwb09,224.4
2014,LPFR,kia,rio,1374.52
2006,LPSE,citroen,jumpy19d4m371hk2006,24528.0
2012,LPUK,mercedes,vianoswb11,75.56
2009,LPUK,bmw,118d3dr09,504.96
2012,LPTR,toyotaauris14d4dcomfortextra2012,toyotaauris14d4dcomfortextra2012,0.0
2008,LPBR,generalmotors,s10dc,0.0
2011,LPFR,mercedes,aclass,673.0860714285716
2004,LPPL,peugeot,partner,1709.718
2014,LPLU,mercedes,sclass,95.796
2014,LPFR,mercedes,vito,1185.641111111111
2004,LPES,fiat,doblo,243.48285714285714
2003,LPES,renault,kangoo4x4,610.9159459459461
2005,LPNL,opel,vectrastationwagon,351.8416346153847
2011,LPNL,volvo,v70,943.6845405405408
2003,LPES,audi,a3ambition,335.36538461538464
2007,LPNL,bmw,330,686.8280000000001
2003,LPAT,volkswagen,boravar19tdi,0.0
2006,LPNL,toyota,hiace,965.756
2003,LPNL,floor,oplegger,0.0
1998,LPAT,skoda,octavia16,0.0
2011,LPNL,volkswagen,transporter,1537.3395811518324
2004,LPES,nissan,terrano,523.0306925207757
2000,LPNL,still,interntransport,0.0
2005,LPNL,chrysler,300c,157.30777777777777
1999,LPAT,hyundai,accent13,0.0
2005,LPNL,ford,fiesta,468.8520000000001
1998,LPES,renault,meganeeuropa,373.49
2009,LPNL,ginaf,x,0.0
2005,LPES,ford,transit,396.5285657370518
2011,LPNL,renault,clio,748.148777969019
2005,LPAT,renault,scenicexpress,0.0
2005,LPFI,toyota,rav4,0.0
2004,LPNL,brandstofcontract,diesel,1305.7066666666667
2005,LPFI,volvo,v50,19.665316455696203
2005,LPAT,renault,lagunadynam,0.0
2009,LPNL,skoda,fabia,874.2192307692309
2008,LPAT,volvo,c3020dmoment,0.0
2005,LPES,renault,trafic,389.8205
2006,LPNL,honda,frv,666.469230769231
2004,LPES,opel,vivarotour,0.0
2007,LPAT,renault,espaceprivil,290.77
2004,LPAT,peugeot,206colorline,0.0
2002,LPNL,skoda,fabia,0.0
2001,LPNL,opel,vivarovc,0.0
2010,LPNL,mercedes,aclass,965.1285714285714
2008,LPAT,volvo,c30d5ageartr,0.0
2009,LPBR,landrover,freelander,0.0
2012,LPES,audi,a4,782.7623157894734
2008,LPLU,dodge,journey,0.0
2004,LPES,fiat,stilo,496.48545454545456
2007,LPFI,mercedes,mclass,0.0
2008,LPFI,mercedes,vito,280.6468181818182
2004,LPBE,peugeot,607,138.2144615384615
2006,LPLU,opel,zafira,501.39523809523814
2008,LPBR,toyota,hiluxsw4,0.0
2008,LPES,peugeot,experttepee,896.4177777777778
2009,LPBR,ford,edge,0.0
2007,LPES,volvo,c70,116.89333333333333
2004,LPES,renault,masteriichca,86.66666666666667
2013,LPBR,volvo,xc60,0.0
2008,LPSK,opel,zafira,334.54
2005,LPFI,mitsubishi,canter,0.0
2014,LPAE,nissan,patrolset1,227.66666666666666
2002,LPES,subaru,outbackh6,162.02
2013,LPLU,audi,a4allroad,146.79285714285714
2012,LPIN,toyota,tkmcamrynew,0.0
2002,LPDE,anhnger,schwagmeiersattelauflieger,0.0
